0, Key.shift_r, PRESS
90, 'T', PRESS
174, Key.shift_r, RELEASE
214, 't', RELEASE
258, 'h', PRESS
327, 'e', PRESS
351, 'h', RELEASE
395, Key.space, PRESS
396, 'e', RELEASE
457, 'q', PRESS
536, Key.space, RELEASE
537, 'u', PRESS
557, 'q', RELEASE
582, 'i', PRESS
620, 'u', RELEASE
681, 'i', RELEASE
682, 'c', PRESS
754, 'k', PRESS
774, 'c', RELEASE
825, Key.space, PRESS
845, 'k', RELEASE
931, 'b', PRESS
972, Key.space, RELEASE
1016, 'b', RELEASE
1137, 'r', PRESS
1207, 'o', PRESS
1207, 'r', RELEASE
1262, 'o', RELEASE
1314, 'w', PRESS
1355, 'n', PRESS
1375, 'w', RELEASE
1418, Key.space, PRESS
1446, 'n', RELEASE
1517, 'f', PRESS
1549, Key.space, RELEASE
1609, 'o', PRESS
1610, 'f', RELEASE
1672, 'o', RELEASE
1695, 'x', PRESS
1777, Key.space, PRESS
1819, 'x', RELEASE
1921, Key.space, RELEASE
2009, 'u', PRESS
2071, 'u', RELEASE
2165, 'm', PRESS
2243, 'm', RELEASE
2267, 'p', PRESS
2335, 's', PRESS
2384, 'p', RELEASE
2408, Key.space, PRESS
2426, 's', RELEASE
2522, Key.space, RELEASE
2523, 'o', PRESS
2576, 'v', PRESS
2616, 'o', RELEASE
2645, 'v', RELEASE
2715, 'e', PRESS
2761, 'r', PRESS
2782, 'e', RELEASE
2809, Key.space, PRESS
2836, 'r', RELEASE
2933, 't', PRESS
2956, Key.space, RELEASE
3033, 'h', PRESS
3033, 't', RELEASE
3110, 'h', RELEASE
3110, 'e', PRESS
3178, Key.space, PRESS
3178, 'e', RELEASE
3289, Key.space, RELEASE
3290, 'l', PRESS
3365, 'a', PRESS
3382, 'l', RELEASE
3442, 'a', RELEASE
3521, 'z', PRESS
3570, 'y', PRESS
3614, 'z', RELEASE
3648, Key.space, PRESS
3648, 'y', RELEASE
3740, 'd', PRESS
3764, Key.space, RELEASE
3856, 'o', PRESS
3856, 'd', RELEASE
3919, 'o', RELEASE
3960, 'g', PRESS
4079, '.', PRESS
4079, 'g', RELEASE
4157, '.', RELEASE
