0, Key.shift_r, PRESS
120, 'T', PRESS
195, Key.shift_r, RELEASE
221, 't', RELEASE
291, 'h', PRESS
345, 'e', PRESS
376, 'h', RELEASE
424, Key.space, PRESS
424, 'e', RELEASE
475, 'q', PRESS
563, 'u', PRESS
579, Key.space, RELEASE
598, 'q', RELEASE
632, 'i', PRESS
686, 'u', RELEASE
749, 'i', RELEASE
793, 'c', PRESS
887, 'k', PRESS
888, 'c', RELEASE
945, Key.space, PRESS
973, 'k', RELEASE
1053, Key.space, RELEASE
1187, 'b', PRESS
1272, 'b', RELEASE
1373, 'r', PRESS
1438, 'o', PRESS
1466, 'r', RELEASE
1514, 'o', RELEASE
1548, 'w', PRESS
1620, 'n', PRESS
1664, 'w', RELEASE
1737, 'n', RELEASE
1778, Key.space, PRESS
1942, Key.space, RELEASE
2417, 'f', PRESS
2495, 'o', PRESS
2495, 'f', RELEASE
2591, 'o', RELEASE
2612, 'x', PRESS
2701, Key.space, PRESS
2735, 'x', RELEASE
2808, 'j', PRESS
2825, Key.space, RELEASE
2845, 'j', RELEASE
2911, 'u', PRESS
2988, 'u', RELEASE
3098, 'm', PRESS
3159, 'm', RELEASE
3215, 'p', PRESS
3298, 's', PRESS
3331, 'p', RELEASE
3363, Key.space, PRESS
3406, 's', RELEASE
3471, Key.space, RELEASE
3472, 'o', PRESS
3556, 'v', PRESS
3602, 'o', RELEASE
3647, 'v', RELEASE
3815, 'e', PRESS
3869, 'r', PRESS
3898, 'e', RELEASE
3961, 'r', RELEASE
3979, Key.space, PRESS
4071, 't', PRESS
4096, Key.space, RELEASE
4149, 'h', PRESS
4179, 't', RELEASE
4249, 'h', RELEASE
4250, 'e', PRESS
4298, Key.space, PRESS
4325, 'e', RELEASE
4374, 'l', PRESS
4421, Key.space, RELEASE
4441, 'a', PRESS
4482, 'l', RELEASE
4550, 'a', RELEASE
4640, 'z', PRESS
4697, 'y', PRESS
4740, 'z', RELEASE
4760, Key.space, PRESS
4780, 'y', RELEASE
4875, 'd', PRESS
4899, Key.space, RELEASE
4961, 'o', PRESS
4961, 'd', RELEASE
5054, 'o', RELEASE
5055, 'g', PRESS
5170, 'g', RELEASE
5384, '.', PRESS
5518, '.', RELEASE
