0, 't', PRESS
79, 'h', PRESS
101, 't', RELEASE
178, 'h', RELEASE
179, 'e', PRESS
283, Key.space, PRESS
284, 'e', RELEASE
349, 'q', PRESS
431, Key.space, RELEASE
461, 'u', PRESS
489, 'q', RELEASE
506, 'i', PRESS
576, 'u', RELEASE
631, 'i', RELEASE
673, 'c', PRESS
790, 'c', RELEASE
1298, 'k', PRESS
1407, 'k', RELEASE
1509, Key.space, PRESS
1681, Key.space, RELEASE
1949, 'b', PRESS
2019, 'b', RELEASE
2122, 'r', PRESS
2194, 'o', PRESS
2230, 'r', RELEASE
2271, 'o', RELEASE
2299, 'w', PRESS
2363, 'n', PRESS
2408, 'w', RELEASE
2464, 'n', RELEASE
2503, Key.space, PRESS
2658, Key.space, RELEASE
2659, 'f', PRESS
2768, 'o', PRESS
2789, 'f', RELEASE
2861, 'o', RELEASE
2900, 'x', PRESS
3038, Key.space, PRESS
3056, 'x', RELEASE
3170, Key.space, RELEASE
3602, 'j', PRESS
3656, 'j', RELEASE
3748, 'u', PRESS
3794, 'u', RELEASE
3915, 'm', PRESS
3961, 'm', RELEASE
4012, 'p', PRESS
4080, 's', PRESS
4112, 'p', RELEASE
4161, Key.space, PRESS
4195, 's', RELEASE
4252, Key.space, RELEASE
4253, 'o', PRESS
4398, 'o', RELEASE
4399, 'v', PRESS
4469, 'v', RELEASE
4570, 'e', PRESS
4618, 'r', PRESS
4639, 'e', RELEASE
4711, 'r', RELEASE
4728, Key.space, PRESS
4804, 't', PRESS
4860, Key.space, RELEASE
4882, 'h', PRESS
4903, 't', RELEASE
4990, 'h', RELEASE
4991, 'e', PRESS
5039, Key.space, PRESS
5066, 'e', RELEASE
5186, Key.space, RELEASE
5187, 'l', PRESS
5262, 'a', PRESS
5278, 'l', RELEASE
5330, 'a', RELEASE
5424, 'z', PRESS
5496, 'y', PRESS
5516, 'z', RELEASE
5543, Key.space, PRESS
5580, 'y', RELEASE
5658, 'd', PRESS
5691, Key.space, RELEASE
5735, 'o', PRESS
5735, 'd', RELEASE
5798, 'o', RELEASE
5841, 'g', PRESS
5958, '.', PRESS
5959, 'g', RELEASE
6046, '.', RELEASE
